"idx","period","school","exp1","exp2","school_c","work1","work2","home"
1,1,10,0,0,0,0,0,0
1,2,10,0,1,0,0,1,0
1,3,10,1,1,0,1,0,0
1,4,10,2,1,0,1,0,0
1,5,10,3,1,0,1,0,0
1,6,10,3,2,0,0,1,0
1,7,10,3,3,0,0,1,0
1,8,10,4,3,0,1,0,0
1,9,10,4,4,0,0,1,0
1,10,10,4,5,0,0,1,0
1,11,10,4,6,0,0,1,0
1,12,10,4,7,0,0,1,0
1,13,10,5,7,0,1,0,0
1,14,10,5,8,0,0,1,0
1,15,10,5,9,0,0,1,0
1,16,10,6,9,0,1,0,0
1,17,10,6,10,0,0,1,0
1,18,10,6,11,0,0,1,0
1,19,10,6,12,0,0,1,0
1,20,10,6,13,0,0,1,0
1,21,10,6,14,0,0,1,0
1,22,10,7,14,0,1,0,0
1,23,10,7,15,0,0,1,0
1,24,10,8,15,0,1,0,0
1,25,10,8,16,0,0,1,0
1,26,10,8,17,0,0,1,0
1,27,10,8,18,0,0,1,0
1,28,10,8,19,0,0,1,0
1,29,10,8,20,0,0,1,0
1,30,10,8,21,0,0,1,0
1,31,10,8,22,0,0,1,0
1,32,10,8,23,0,0,1,0
1,33,10,8,24,0,0,1,0
1,34,10,8,25,0,0,1,0
1,35,10,8,26,0,0,1,0
1,36,10,8,27,0,0,1,0
1,37,10,8,28,0,0,1,0
1,38,10,8,29,0,0,1,0
1,39,10,8,30,0,0,1,0
1,40,10,8,31,0,0,1,0
2,1,10,0,0,0,0,0,0
2,2,10,0,1,0,0,1,0
2,3,10,1,1,0,1,0,0
2,4,10,2,1,0,1,0,0
2,5,10,2,2,0,0,1,0
2,6,10,3,2,0,1,0,0
2,7,10,4,2,0,1,0,0
2,8,10,4,3,0,0,1,0
2,9,10,4,4,0,0,1,0
2,10,10,5,4,0,1,0,0
2,11,11,5,4,1,0,0,0
2,12,11,6,4,0,1,0,0
2,13,11,6,5,0,0,1,0
2,14,11,6,6,0,0,1,0
2,15,11,7,6,0,1,0,0
2,16,11,7,7,0,0,1,0
2,17,11,7,8,0,0,1,0
2,18,11,7,9,0,0,1,0
2,19,11,7,10,0,0,1,0
2,20,11,7,11,0,0,1,0
2,21,11,7,12,0,0,1,0
2,22,11,7,13,0,0,1,0
2,23,11,7,14,0,0,1,0
2,24,11,7,15,0,0,1,0
2,25,11,7,16,0,0,1,0
2,26,11,8,16,0,1,0,0
2,27,11,8,17,0,0,1,0
2,28,11,8,18,0,0,1,0
2,29,11,8,19,0,0,1,0
2,30,11,8,20,0,0,1,0
2,31,11,9,20,0,1,0,0
2,32,11,9,21,0,0,1,0
2,33,11,9,22,0,0,1,0
2,34,11,9,23,0,0,1,0
2,35,11,9,24,0,0,1,0
