"idx","period","school","exp1","exp2","school_c","work1","work2","home"
1,1,10,0,0,0,0,0,0
1,2,10,1,0,0,1,0,0
1,3,10,2,0,0,1,0,0
1,4,10,3,0,0,1,0,0
1,5,10,4,0,0,1,0,0
1,6,10,5,0,0,1,0,0
1,7,10,5,0,0,0,0,1
1,8,10,6,0,0,1,0,0
1,9,10,7,0,0,1,0,0
1,10,10,8,0,0,1,0,0
1,11,10,9,0,0,1,0,0
1,12,10,9,1,0,0,1,0
1,13,10,9,2,0,0,1,0
1,14,10,9,2,0,0,0,1
1,15,10,10,2,0,1,0,0
1,16,10,11,2,0,1,0,0
1,17,10,12,2,0,1,0,0
1,18,10,13,2,0,1,0,0
1,19,10,14,2,0,1,0,0
1,20,10,14,3,0,0,1,0
1,21,10,15,3,0,1,0,0
1,22,10,16,3,0,1,0,0
1,23,10,17,3,0,1,0,0
1,24,10,18,3,0,1,0,0
1,25,10,19,3,0,1,0,0
1,26,10,19,4,0,0,1,0
1,27,10,20,4,0,1,0,0
1,28,10,20,5,0,0,1,0
1,29,10,21,5,0,1,0,0
1,30,10,21,6,0,0,1,0
1,31,10,22,6,0,1,0,0
1,32,10,23,6,0,1,0,0
1,33,10,24,6,0,1,0,0
1,34,10,25,6,0,1,0,0
1,35,10,26,6,0,1,0,0
1,36,10,27,6,0,1,0,0
1,37,10,28,6,0,1,0,0
1,38,10,29,6,0,1,0,0
1,39,10,30,6,0,1,0,0
1,40,10,31,6,0,1,0,0
1,41,10,31,7,0,0,1,0
2,1,10,0,0,0,0,0,0
2,2,10,1,0,0,1,0,0
2,3,10,2,0,0,1,0,0
2,4,10,3,0,0,1,0,0
2,5,10,4,0,0,1,0,0
2,6,11,4,0,1,0,0,0
2,7,12,4,0,1,0,0,0
2,8,12,5,0,0,1,0,0
2,9,12,6,0,0,1,0,0
2,10,12,7,0,0,1,0,0
2,11,12,8,0,0,1,0,0
2,12,12,9,0,0,1,0,0
2,13,12,10,0,0,1,0,0
2,14,12,11,0,0,1,0,0
2,15,12,12,0,0,1,0,0
2,16,12,13,0,0,1,0,0
2,17,12,14,0,0,1,0,0
2,18,12,15,0,0,1,0,0
2,19,13,15,0,1,0,0,0
2,20,14,15,0,1,0,0,0
2,21,14,15,1,0,0,1,0
2,22,14,16,1,0,1,0,0
2,23,14,17,1,0,1,0,0
2,24,14,18,1,0,1,0,0
2,25,14,19,1,0,1,0,0
2,26,14,20,1,0,1,0,0
2,27,14,21,1,0,1,0,0
2,28,14,21,2,0,0,1,0
2,29,14,22,2,0,1,0,0
2,30,14,23,2,0,1,0,0
2,31,14,24,2,0,1,0,0
2,32,14,25,2,0,1,0,0
2,33,14,26,2,0,1,0,0
2,34,14,26,3,0,0,1,0
2,35,14,26,4,0,0,1,0
2,36,14,27,4,0,1,0,0
2,37,14,28,4,0,1,0,0
2,38,14,28,5,0,0,1,0
2,39,14,29,5,0,1,0,0
2,40,14,30,5,0,1,0,0
2,41,14,31,5,0,1,0,0
3,1,10,0,0,0,0,0,0
3,2,10,1,0,0,1,0,0
3,3,10,2,0,0,1,0,0
3,4,10,3,0,0,1,0,0
3,5,10,4,0,0,1,0,0
3,6,10,5,0,0,1,0,0
3,7,10,6,0,0,1,0,0
3,8,10,7,0,0,1,0,0
3,9,10,8,0,0,1,0,0
3,10,10,9,0,0,1,0,0
3,11,10,10,0,0,1,0,0
3,12,10,11,0,0,1,0,0
3,13,10,12,0,0,1,0,0
3,14,10,13,0,0,1,0,0
3,15,10,14,0,0,1,0,0
3,16,10,15,0,0,1,0,0
3,17,10,16,0,0,1,0,0
3,18,10,16,0,0,0,0,1
3,19,10,17,0,0,1,0,0
3,20,10,18,0,0,1,0,0
3,21,10,19,0,0,1,0,0
3,22,10,20,0,0,1,0,0
3,23,10,21,0,0,1,0,0
3,24,10,22,0,0,1,0,0
3,25,10,23,0,0,1,0,0
3,26,10,24,0,0,1,0,0
3,27,10,25,0,0,1,0,0
3,28,10,26,0,0,1,0,0
3,29,10,27,0,0,1,0,0
3,30,10,28,0,0,1,0,0
3,31,10,28,0,0,0,0,1
3,32,10,29,0,0,1,0,0
3,33,10,30,0,0,1,0,0
3,34,10,31,0,0,1,0,0
3,35,10,31,0,0,0,0,1
3,36,10,32,0,0,1,0,0
3,37,10,32,1,0,0,1,0
3,38,10,32,1,0,0,0,1
3,39,10,32,1,0,0,0,1
3,40,10,33,1,0,1,0,0
3,41,10,34,1,0,1,0,0
4,1,10,0,0,0,0,0,0
4,2,10,0,1,0,0,1,0
4,3,10,0,1,0,0,0,1
4,4,10,1,1,0,1,0,0
4,5,10,2,1,0,1,0,0
4,6,10,3,1,0,1,0,0
4,7,11,3,1,1,0,0,0
4,8,12,3,1,1,0,0,0
4,9,12,4,1,0,1,0,0
4,10,12,5,1,0,1,0,0
4,11,12,6,1,0,1,0,0
4,12,13,6,1,1,0,0,0
4,13,13,7,1,0,1,0,0
4,14,13,8,1,0,1,0,0
4,15,13,9,1,0,1,0,0
4,16,13,10,1,0,1,0,0
4,17,13,10,2,0,0,1,0
4,18,13,11,2,0,1,0,0
4,19,13,12,2,0,1,0,0
4,20,13,13,2,0,1,0,0
4,21,13,14,2,0,1,0,0
4,22,13,15,2,0,1,0,0
4,23,13,16,2,0,1,0,0
4,24,13,17,2,0,1,0,0
4,25,13,18,2,0,1,0,0
4,26,13,19,2,0,1,0,0
4,27,13,19,3,0,0,1,0
4,28,13,20,3,0,1,0,0
4,29,13,21,3,0,1,0,0
4,30,13,22,3,0,1,0,0
4,31,13,22,4,0,0,1,0
4,32,13,23,4,0,1,0,0
4,33,13,23,5,0,0,1,0
4,34,13,23,6,0,0,1,0
4,35,13,23,7,0,0,1,0
4,36,13,23,8,0,0,1,0
4,37,13,23,9,0,0,1,0
4,38,13,24,9,0,1,0,0
4,39,13,24,10,0,0,1,0
4,40,13,24,11,0,0,1,0
4,41,13,24,12,0,0,1,0
5,1,10,0,0,0,0,0,0
5,2,10,0,0,0,0,0,1
5,3,10,1,0,0,1,0,0
5,4,10,2,0,0,1,0,0
5,5,10,3,0,0,1,0,0
5,6,10,3,0,0,0,0,1
5,7,10,4,0,0,1,0,0
5,8,10,4,1,0,0,1,0
5,9,11,4,1,1,0,0,0
5,10,12,4,1,1,0,0,0
5,11,13,4,1,1,0,0,0
5,12,14,4,1,1,0,0,0
5,13,14,4,2,0,0,1,0
5,14,14,5,2,0,1,0,0
5,15,14,5,3,0,0,1,0
5,16,14,5,3,0,0,0,1
5,17,14,6,3,0,1,0,0
5,18,14,6,4,0,0,1,0
5,19,14,6,5,0,0,1,0
5,20,14,6,6,0,0,1,0
5,21,14,6,7,0,0,1,0
5,22,14,6,8,0,0,1,0
5,23,14,6,9,0,0,1,0
5,24,14,7,9,0,1,0,0
5,25,14,7,10,0,0,1,0
5,26,14,7,11,0,0,1,0
5,27,14,7,12,0,0,1,0
5,28,14,7,13,0,0,1,0
5,29,14,8,13,0,1,0,0
5,30,14,9,13,0,1,0,0
5,31,14,10,13,0,1,0,0
5,32,14,11,13,0,1,0,0
5,33,14,11,14,0,0,1,0
5,34,14,11,15,0,0,1,0
5,35,14,11,16,0,0,1,0
5,36,14,11,17,0,0,1,0
5,37,14,12,17,0,1,0,0
5,38,14,13,17,0,1,0,0
5,39,14,14,17,0,1,0,0
5,40,14,14,18,0,0,1,0
5,41,14,14,19,0,0,1,0
6,1,10,0,0,0,0,0,0
6,2,10,1,0,0,1,0,0
6,3,10,2,0,0,1,0,0
6,4,10,3,0,0,1,0,0
6,5,11,3,0,1,0,0,0
6,6,12,3,0,1,0,0,0
6,7,13,3,0,1,0,0,0
6,8,14,3,0,1,0,0,0
6,9,15,3,0,1,0,0,0
6,10,15,4,0,0,1,0,0
6,11,16,4,0,1,0,0,0
6,12,17,4,0,1,0,0,0
6,13,18,4,0,1,0,0,0
6,14,18,4,1,0,0,1,0
6,15,18,4,2,0,0,1,0
6,16,18,4,3,0,0,1,0
6,17,18,5,3,0,1,0,0
6,18,18,6,3,0,1,0,0
6,19,18,7,3,0,1,0,0
6,20,18,7,4,0,0,1,0
6,21,18,8,4,0,1,0,0
6,22,18,8,5,0,0,1,0
6,23,18,8,6,0,0,1,0
6,24,18,9,6,0,1,0,0
